"epiweek2","n","sum_genomes","Date","pcr_type","loglevels","tested","year","week","Country","end"
"2023w17",0,1078.38,"w","dPCR",3.03277182469367,-0.3,2023,17,"South African SARS-CoV-2 Wastewater Levels",2023-04-29
"2023w18",0,611.93,"w","dPCR",2.78670174509905,-0.3,2023,18,"South African SARS-CoV-2 Wastewater Levels",2023-05-06
"2023w19",0,191.41,"w","dPCR",2.2819646232599,-0.3,2023,19,"South African SARS-CoV-2 Wastewater Levels",2023-05-13
"2023w20",0,236.63,"w","dPCR",2.37406980372608,-0.3,2023,20,"South African SARS-CoV-2 Wastewater Levels",2023-05-20
"2023w21",0,16.41,"w","dPCR",1.21510858105309,-0.3,2023,21,"South African SARS-CoV-2 Wastewater Levels",2023-05-27
"2023w22",0,9.36,"w","dPCR",0.971275848738105,-0.3,2023,22,"South African SARS-CoV-2 Wastewater Levels",2023-06-03
"2023w23",0,7.02,"w","dPCR",0.846337112129805,-0.3,2023,23,"South African SARS-CoV-2 Wastewater Levels",2023-06-10
"2023w24",0,16.95,"w","dPCR",1.2291697025391,-0.3,2023,24,"South African SARS-CoV-2 Wastewater Levels",2023-06-17
"2023w25",0,21.41,"w","dPCR",1.33061666729444,-0.3,2023,25,"South African SARS-CoV-2 Wastewater Levels",2023-06-24
"2023w26",0,15.13,"w","dPCR",1.17983892802319,-0.3,2023,26,"South African SARS-CoV-2 Wastewater Levels",2023-07-01
"2023w27",0,14.06,"w","dPCR",1.14798532068381,-0.3,2023,27,"South African SARS-CoV-2 Wastewater Levels",2023-07-08
"2023w28",0,117.6,"w","dPCR",2.07040732174012,-0.3,2023,28,"South African SARS-CoV-2 Wastewater Levels",2023-07-15
"2023w29",0,28.5,"w","dPCR",1.45484486000851,-0.3,2023,29,"South African SARS-CoV-2 Wastewater Levels",2023-07-22
"2023w30",0,26.55,"w","dPCR",1.42406452541749,-0.3,2023,30,"South African SARS-CoV-2 Wastewater Levels",2023-07-29
"2023w31",48,76.94,"w","dPCR",1.8861521819708,-0.3,2023,31,"South African SARS-CoV-2 Wastewater Levels",2023-08-05
"2023w32",88,290.41,"w","dPCR",2.46301156681471,-0.3,2023,32,"South African SARS-CoV-2 Wastewater Levels",2023-08-12
"2023w33",130,336.19,"w","dPCR",2.52658479116946,-0.3,2023,33,"South African SARS-CoV-2 Wastewater Levels",2023-08-19
"2023w34",117,94.62,"w","dPCR",1.97598294371255,-0.3,2023,34,"South African SARS-CoV-2 Wastewater Levels",2023-08-26
"2023w35",103,139.28,"w","dPCR",2.14388875810927,-0.3,2023,35,"South African SARS-CoV-2 Wastewater Levels",2023-09-02
"2023w36",125,415.14,"w","dPCR",2.61819458098714,-0.3,2023,36,"South African SARS-CoV-2 Wastewater Levels",2023-09-09
"2023w37",193,354.04,"w","dPCR",2.54905233207633,-0.3,2023,37,"South African SARS-CoV-2 Wastewater Levels",2023-09-16
"2023w38",168,217.53,"w","dPCR",2.33751915984698,-0.3,2023,38,"South African SARS-CoV-2 Wastewater Levels",2023-09-23
"2023w39",149,328.08,"w","dPCR",2.51597975627943,-0.3,2023,39,"South African SARS-CoV-2 Wastewater Levels",2023-09-30
"2023w40",128,441.01,"w","dPCR",2.64444843730362,-0.3,2023,40,"South African SARS-CoV-2 Wastewater Levels",2023-10-07
"2023w41",82,474.08,"w","dPCR",2.67585163413598,-0.3,2023,41,"South African SARS-CoV-2 Wastewater Levels",2023-10-14
"2023w42",0,387.12,"w","dPCR",2.58784560910057,-0.3,2023,42,"South African SARS-CoV-2 Wastewater Levels",2023-10-21
"2023w43",0,460.54,"w","dPCR",2.66326735662808,-0.3,2023,43,"South African SARS-CoV-2 Wastewater Levels",2023-10-28
"2023w44",0,227.61,"w","dPCR",2.35719133878373,-0.3,2023,44,"South African SARS-CoV-2 Wastewater Levels",2023-11-04
