"","Sample","Date","Site","Province","District","Lineages","Abundances","Coverage"
"169","ENV-NIC-22-0901",2022-10-25,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BQ.1.1.38 BA.5 BQ.1.1.14 BE.8","0.68445288 0.14102312 0.09791129 0.07199357",97.866435
"170","ENV-NIC-22-0902",2022-10-25,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BE.7 BA.5.1.20 BA.5.1.27 BA.5.1.28","0.83692098 0.05341360 0.05341360 0.05341360",75.22991
"171","ENV-NIC-22-0987",2022-11-21,"Central Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BE.7 BQ.1.1.3 BE.1.1 BA.5.11 BQ.1.1.38","0.50516100 0.24727000 0.11028326 0.10740607 0.02406476",97.919941
"172","ENV-NIC-22-0988",2022-11-21,"Northern Wastewater Treatment Works (KZN)","KwaZulu-Natal","Ethekwini MM","BE.7 BA.5 BA.4.1.8 BQ.1.1.10 BQ.1.1.46","0.80459827 0.10567834 0.04447109 0.02204577 0.01512038",99.324482
"173","ENV-NIC-22-0990",2022-11-22,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","BA.5.11 BE.8 BA.5.5 BA.5.5.3","0.40773672 0.32927400 0.25298974 0.00582116",80.18259
"174","ENV-NIC-22-1020",2022-11-29,"Goudkoppies Wastewater Treatment Works","Gauteng","Johannesburg MM","BA.5.11 BE.8 DR.1 BE.1","0.31256833 0.26964300 0.23810381 0.17617942",91.174799
"175","ENV-NIC-22-1035",2022-12-06,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","BE.8 BE.13 BA.5 BE.7 BA.5.5 BA.5.2","0.33882973 0.31653000 0.13786191 0.13058800 0.05579435 0.01686862",97.087249
"176","ENV-NIC-22-1036",2022-12-06,"Northern Wastewater Treatment Works (GP)","Gauteng","Johannesburg MM","BE.7 BA.5.11 BE.8 BA.4.1.9 BA.4.8 BQ.1.1.64","0.30314595 0.28294139 0.27920700 0.06973010 0.04183921 0.02124930",94.973748
"177","ENV-NIC-22-1037",2022-12-07,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BE.7","0.99920364",65.762633
"178","ENV-NIC-22-1085",2022-12-13,"Kwanobuhle Wastewater Treatment Works","Eastern Cape","Nelson Mandela Bay MM","BE.1.2 BE.7 BQ.1.1.46 BQ.1.1.32 DT.3 BQ.1.1.66 BQ.1.1.37 BQ.1.1.47 BQ.1.1.67 BQ.1.1.9 BQ.1.1.56 BQ.1.1 BE.8","0.46938036 0.32604188 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.01946744 0.00606061",85.8041
"179","ENV-NIC-23-0021",2023-01-09,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM","FC.1 EW.1 BE.1 BA.5","0.37503795 0.23406600 0.19213383 0.18998972",87.104973
"180","ENV-NIC-23-0044",2023-01-17,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","BQ.1.1.38 BA.5.11 BE.1 BA.5.6","0.63422012 0.28384934 0.07815903 0.00168066",77.530683
"181","ENV-NIC-23-0226",2023-02-28,"Hartebeesfontein Waterworks","Gauteng","Ekurhuleni MM","XBB.1.5.88 XBB.1.5.24 XBB.1.5.81 BQ.1.1 EW.1","0.42377762 0.28780695 0.18728435 0.07732441 0.01333330",95.000502
"182","ENV-NIC-23-0227",2023-03-01,"Daspoort Wastewater Treatment Works","Gauteng","Tshwane MM","XBB.1.5.25 JB.1 XBB.1.9.1 FL.2 XBB.1.5.4 BA.5.1.20 XBW BA.5.1.33","0.23962200 0.15674600 0.13740150 0.13740150 0.13594317 0.11240208 0.06855790 0.00121536",96.097382
"183","ENV-NIC-23-0279",2023-03-13,"Zandvleit Wastewater Treatment Works","Western Cape","Cape Town MM","XBB.1.5.83","0.99901246",51.212253
"184","ENV-NIC-23-0281",2023-03-06,"Kwanobuhle Wastewater Treatment Works","Eastern Cape","Nelson Mandela Bay MM","XBB.1.5.59","0.99395145",95.579039
"185","ENV-NIC-23-0292",2023-03-22,"ERWAT Vlakplaat Wastewater Treatment Works","Gauteng","Ekurhuleni MM","XBB.1.5.83 XBB.1.5.40 XBB.1.5.28","0.70740544 0.15975000 0.12936766",97.685851
